id,name,description,descriptionPreview,descriptionHash,descriptionLength,tableRefId,columnRefId,source,language,domainName
BD_CDN_TEST_TABLE_CDN_FORMYPLATNWALUTY,CDN.FormyPlatnWaluty,"Tabela ""CDN.FormyPlatnWaluty"" w domenie Finanse-Księgowość. Definicje walut i kursów wymiany.","Tabela ""CDN.FormyPlatnWaluty"" w domenie Finanse-Księgowość. Definicje walut i kursów wymiany.",db5ca3ccba699563ae93cea41d50f7a6a7073ca52b35210beba377df454f58fa,93,CDN_TEST:TABLE:CDN.FormyPlatnWaluty,,heuristic,pl,GENERAL_ERP
BD_CDN_TEST_TABLE_CDN_AUTOEWID,CDN.AutoEwid,"Tabela ""CDN.AutoEwid"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.AutoEwid"" w domenie Ogólne. Tabela systemowa.",a0ae4c58aa57a6dd6a8b681ac9a6177f876d01c1ce670dad05fff3cbb1dafd5f,57,CDN_TEST:TABLE:CDN.AutoEwid,,heuristic,pl,GENERAL_ERP
BD_CDN_TEST_TABLE_CDN_DANEBINARNELINKI,CDN.DaneBinarneLinki,"Tabela ""CDN.DaneBinarneLinki"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.DaneBinarneLinki"" w domenie Ogólne. Tabela systemowa.",00612ba6885cc08c66573bafcb523b34d052654207105c3a8957466f90a765c0,65,CDN_TEST:TABLE:CDN.DaneBinarneLinki,,heuristic,pl,GENERAL_ERP
BD_CDN_TEST_TABLE_CDN_DOKNAGETAPYKOLEJNE,CDN.DokNagEtapyKolejne,"Tabela ""CDN.DokNagEtapyKolejne"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.DokNagEtapyKolejne"" w domenie Ogólne. Tabela systemowa.",c4e3d8d07cc033c77693eeabf1d1c7623a3cc5e62c28aecf748374a8838b3ded,67,CDN_TEST:TABLE:CDN.DokNagEtapyKolejne,,heuristic,pl,TRADE_DOCUMENTS
BD_CDN_TEST_TABLE_CDN_DETALPLATNOSCIDOKUMENTU,CDN.DetalPlatnosciDokumentu,"Tabela ""CDN.DetalPlatnosciDokumentu"" w domenie Finanse-Księgowość. Formy płatności i terminy.","Tabela ""CDN.DetalPlatnosciDokumentu"" w domenie Finanse-Księgowość. Formy płatności i terminy.",80ce5eebeb3f02027cdfb3f4a1c0a7b325e0775c0a66af6c633dbf1871b8514e,93,CDN_TEST:TABLE:CDN.DetalPlatnosciDokumentu,,heuristic,pl,GENERAL_ERP
BD_CDN_TEST_TABLE_CDN_SWIETARUCHOME,CDN.SwietaRuchome,"Tabela ""CDN.SwietaRuchome"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.SwietaRuchome"" w domenie Ogólne. Tabela systemowa.",c8da0597615777f6a4ae54f566a1d7ac65898ec080d3164eaebabec890be7956,62,CDN_TEST:TABLE:CDN.SwietaRuchome,,heuristic,pl,GENERAL_ERP
BD_CDN_TEST_TABLE_CDN_PRZWYREJ,CDN.PrzWyrej,"Tabela ""CDN.PrzWyrej"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.PrzWyrej"" w domenie Ogólne. Tabela systemowa.",ff11a320def4bc6bb844eaaca39d3710d5f4fd515028cc575a55d73ac90c92ab,57,CDN_TEST:TABLE:CDN.PrzWyrej,,heuristic,pl,GENERAL_ERP
BD_CDN_TEST_TABLE_CDN_GRUPY,CDN.Grupy,"Tabela ""CDN.Grupy"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.Grupy"" w domenie Ogólne. Tabela systemowa.",a4397b05abd7dee703388310590f194cc0d55de028a2c9f628d8449ebe1e887c,54,CDN_TEST:TABLE:CDN.Grupy,,heuristic,pl,GENERAL_ERP
BD_CDN_TEST_TABLE_CDN_WYPOSAZENIE,CDN.Wyposazenie,"Tabela ""CDN.Wyposazenie"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.Wyposazenie"" w domenie Ogólne. Tabela systemowa.",83efe912b5cf757751635a0c3e0603d5260000e095f67bb9510d3a9333eaed77,60,CDN_TEST:TABLE:CDN.Wyposazenie,,heuristic,pl,HR_PAYROLL
BD_CDN_TEST_TABLE_CDN_TRWALEAIELEM,CDN.TrwaleAIElem,"Tabela ""CDN.TrwaleAIElem"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.TrwaleAIElem"" w domenie Ogólne. Tabela systemowa.",51a93ce262fe6eea63c4ad7e0c78a9e63c12c3be3d412f297983183f07f643f4,61,CDN_TEST:TABLE:CDN.TrwaleAIElem,,heuristic,pl,GENERAL_ERP
BD_CDN_TEST_TABLE_CDN_DOKNAGPLIKI,CDN.DokNagPliki,"Tabela ""CDN.DokNagPliki"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.DokNagPliki"" w domenie Ogólne. Tabela systemowa.",ade3dac0abfafa38626b0e9afa2d64c6344f91ec436494b62a896cf558d07c90,60,CDN_TEST:TABLE:CDN.DokNagPliki,,heuristic,pl,TRADE_DOCUMENTS
BD_CDN_TEST_TABLE_CDN_DETALRAPORTY,CDN.DetalRaporty,"Tabela ""CDN.DetalRaporty"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.DetalRaporty"" w domenie Ogólne. Tabela systemowa.",4c5266418b87da52aac5ff9504ebaf48625d8014afc613d02cb25aca8868aecd,61,CDN_TEST:TABLE:CDN.DetalRaporty,,heuristic,pl,GENERAL_ERP
BD_CDN_TEST_TABLE_CDN_MAGAZYNY,CDN.Magazyny,"Tabela ""CDN.Magazyny"" w domenie Magazyn. Definicje magazynów i ich stany magazynowe.","Tabela ""CDN.Magazyny"" w domenie Magazyn. Definicje magazynów i ich stany magazynowe.",9cbb56f6a2f22d0de46789618149915aa73ba85c4db0e6d3669a3d9f472f656b,84,CDN_TEST:TABLE:CDN.Magazyny,,heuristic,pl,PRODUCTS_WAREHOUSE
BD_CDN_TEST_TABLE_CDN_BNKZDARZENIA,CDN.BnkZdarzenia,"Tabela ""CDN.BnkZdarzenia"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.BnkZdarzenia"" w domenie Ogólne. Tabela systemowa.",2756011bc83105b2222c0c98246a221434c1ae0181b7f54b6cda74f49bcb6ce4,61,CDN_TEST:TABLE:CDN.BnkZdarzenia,,heuristic,pl,BANK_CASH
BD_CDN_TEST_TABLE_CDN_PRODUCENCIJEZYKOBCY,CDN.ProducenciJezykObcy,"Tabela ""CDN.ProducenciJezykObcy"" w domenie Magazyn. Tabela systemowa.","Tabela ""CDN.ProducenciJezykObcy"" w domenie Magazyn. Tabela systemowa.",53e43a6975a9a0a413d4269e7e5a4b15acd8428fa659a79d52ca18ca4cfbb529,69,CDN_TEST:TABLE:CDN.ProducenciJezykObcy,,heuristic,pl,GENERAL_ERP
BD_CDN_TEST_TABLE_CDN_DEKLCUK,CDN.DeklCUK,"Tabela ""CDN.DeklCUK"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.DeklCUK"" w domenie Ogólne. Tabela systemowa.",8a9bdba9ef783caeb324d5789d6a0409567635a7b3091770eedc178f6100e624,56,CDN_TEST:TABLE:CDN.DeklCUK,,heuristic,pl,COMPLIANCE_ACCOUNTING
BD_CDN_TEST_TABLE_CDN_RABATY,CDN.Rabaty,"Tabela ""CDN.Rabaty"" w domenie Ogólne. Tabela systemowa.","Tabela ""CDN.Rabaty"" w domenie Ogólne. Tabela systemowa.",f8c19cf6cec3f7598fc47d2c7c6baca139e31363aeb2980785a5503ebf151b9f,55,CDN_TEST:TABLE:CDN.Rabaty,,heuristic,pl,GENERAL_ERP
