id,name,description,descriptionPreview,descriptionHash,descriptionLength,tableRefId,ruleType,expression,isHardConstraint,domainName
BR_CHECK_CK_BZD_KWOTASYS,CK_BZd_KwotaSys,"Reguła sprawdzająca (CHECK) ""CK_BZd_KwotaSys"": [BZD_KWOTASYS]>(0).","Reguła sprawdzająca (CHECK) ""CK_BZd_KwotaSys"": [BZD_KWOTASYS]>(0).",95b2ad7437c8290026070894309eb8ce3da4b653484df4b73afcee9e4745b11d,66,CDN_TEST:TABLE:CDN.BnkZdarzenia,CHECK,([BZD_KWOTASYS]>(0)),true,Ogólne
BR_CHECK_CK_BZD_KWOTAROZSYS,CK_BZd_KwotaRozSys,"Reguła sprawdzająca (CHECK) ""CK_BZd_KwotaRozSys"": [BZD_KWOTAROZSYS]>=(0).","Reguła sprawdzająca (CHECK) ""CK_BZd_KwotaRozSys"": [BZD_KWOTAROZSYS]>=(0).",d0571f0468b6e07d6d43cec59f5a259b7cddb8f3a8381645dd6a3475eb98a430,73,CDN_TEST:TABLE:CDN.BnkZdarzenia,CHECK,([BZD_KWOTAROZSYS]>=(0)),true,Ogólne
BR_CHECK_CK_BZD_KWOTA,CK_BZd_Kwota,"Reguła sprawdzająca (CHECK) ""CK_BZd_Kwota"": [BZD_KWOTA]>(0).","Reguła sprawdzająca (CHECK) ""CK_BZd_Kwota"": [BZD_KWOTA]>(0).",733d48fe77a6b94ab128492ed8a62f677920a8f52e895c42bb9665ed1d31dee1,60,CDN_TEST:TABLE:CDN.BnkZdarzenia,CHECK,([BZD_KWOTA]>(0)),true,Ogólne
BR_CHECK_CK_BZD_KWOTAROZ,CK_BZd_KwotaRoz,"Reguła sprawdzająca (CHECK) ""CK_BZd_KwotaRoz"": [BZD_KWOTAROZ]>=(0).","Reguła sprawdzająca (CHECK) ""CK_BZd_KwotaRoz"": [BZD_KWOTAROZ]>=(0).",643f8424c91bd43b33ddfd6b4d4a35a214be5906fd9033977066603171fddedf,67,CDN_TEST:TABLE:CDN.BnkZdarzenia,CHECK,([BZD_KWOTAROZ]>=(0)),true,Ogólne
BR_CHECK_CK_BZD_KIERUNEK,CK_BZd_Kierunek,"Reguła sprawdzająca (CHECK) ""CK_BZd_Kierunek"": [BZD_KIERUNEK]=(1) OR [BZD_KIERUNEK]=(0) OR [BZD_KIERUNEK]=(-1).","Reguła sprawdzająca (CHECK) ""CK_BZd_Kierunek"": [BZD_KIERUNEK]=(1) OR [BZD_KIERUNEK]=(0) OR [BZD_KIERUNEK]=(-1).",7a0debd8da499822cac3fc520087fbe0aaf3253bb0e9f064a99863ef80146e64,111,CDN_TEST:TABLE:CDN.BnkZdarzenia,CHECK,([BZD_KIERUNEK]=(1) OR [BZD_KIERUNEK]=(0) OR [BZD_KIERUNEK]=(-1)),true,Ogólne
BR_CHECK_CK_DSFPL_TERMIN,CK_DSFPl_Termin,"Reguła sprawdzająca (CHECK) ""CK_DSFPl_Termin"": [DSFPL_TERMIN]>=(0).","Reguła sprawdzająca (CHECK) ""CK_DSFPl_Termin"": [DSFPL_TERMIN]>=(0).",dd2f0d7debd875db981c314162661fe27d752477acd0bff5fb7e3bf4de5b9f93,67,CDN_TEST:TABLE:CDN.DetalStanFormyPlatnosci,CHECK,([DSFPL_TERMIN]>=(0)),true,Ogólne
BR_CHECK_CK_BOMW_KIERUNEK,CK_BOMW_Kierunek,"Reguła sprawdzająca (CHECK) ""CK_BOMW_Kierunek"": [BOMW_Kierunek]=(1) OR [BOMW_Kierunek]=(-1).","Reguła sprawdzająca (CHECK) ""CK_BOMW_Kierunek"": [BOMW_Kierunek]=(1) OR [BOMW_Kierunek]=(-1).",46bc7beb9896a0f58d5b5b75e74b418f9f0566fd64e4a03cc9f69f85ffd037e5,92,CDN_TEST:TABLE:CDN.BnkBOMW,CHECK,([BOMW_Kierunek]=(1) OR [BOMW_Kierunek]=(-1)),true,Ogólne
BR_CHECK_CK_BOMW_KWOTAROZSYSMW,CK_BOMW_KwotaRozSysMW,"Reguła sprawdzająca (CHECK) ""CK_BOMW_KwotaRozSysMW"": [BOMW_KWOTAROZSYSMW]>=(0).","Reguła sprawdzająca (CHECK) ""CK_BOMW_KwotaRozSysMW"": [BOMW_KWOTAROZSYSMW]>=(0).",f1859324300a85a8060ae9185377e262d0dceadbc155656a0b2af542634c2b62,79,CDN_TEST:TABLE:CDN.BnkBOMW,CHECK,([BOMW_KWOTAROZSYSMW]>=(0)),true,Ogólne
BR_CHECK_CK_BOMW_KWOTAROZMW,CK_BOMW_KwotaRozMW,"Reguła sprawdzająca (CHECK) ""CK_BOMW_KwotaRozMW"": [BOMW_KWOTAROZMW]>=(0).","Reguła sprawdzająca (CHECK) ""CK_BOMW_KwotaRozMW"": [BOMW_KWOTAROZMW]>=(0).",0c510a69495841ce0c034bca239b198a0315e5571ba1608d7729981c027a653c,73,CDN_TEST:TABLE:CDN.BnkBOMW,CHECK,([BOMW_KWOTAROZMW]>=(0)),true,Ogólne
BR_CHECK_CK_KZM_ROK,CK_KZM_Rok,"Reguła sprawdzająca (CHECK) ""CK_KZM_Rok"": [KZM_Rok]>(1900).","Reguła sprawdzająca (CHECK) ""CK_KZM_Rok"": [KZM_Rok]>(1900).",c5d64d04a7de1ae45332ff41e3bc2491e2f3df27fe157d2aaf89c880c6fe989e,59,CDN_TEST:TABLE:CDN.KntZamknMies,CHECK,([KZM_Rok]>(1900)),true,Ogólne
