id,name,columnRefId,codeValue,label,source,domainName
CM_CDN_TEST_COLUMN_CDN_BZD_KIERUNEK_1,.BZD_KIERUNEK=1,CDN_TEST:COLUMN:CDN..BZD_KIERUNEK,1,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_BZD_KIERUNEK_0,.BZD_KIERUNEK=0,CDN_TEST:COLUMN:CDN..BZD_KIERUNEK,0,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_BZD_KIERUNEK_NEG_1,.BZD_KIERUNEK=-1,CDN_TEST:COLUMN:CDN..BZD_KIERUNEK,-1,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_BOMW_KIERUNEK_1,.BOMW_Kierunek=1,CDN_TEST:COLUMN:CDN..BOMW_Kierunek,1,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_BOMW_KIERUNEK_NEG_1,.BOMW_Kierunek=-1,CDN_TEST:COLUMN:CDN..BOMW_Kierunek,-1,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_KZM_STATUS_1,.KZM_Status=1,CDN_TEST:COLUMN:CDN..KZM_Status,1,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_KZM_STATUS_0,.KZM_Status=0,CDN_TEST:COLUMN:CDN..KZM_Status,0,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_KZM_WYSLANO_1,.KZM_Wyslano=1,CDN_TEST:COLUMN:CDN..KZM_Wyslano,1,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_KZM_WYSLANO_0,.KZM_Wyslano=0,CDN_TEST:COLUMN:CDN..KZM_Wyslano,0,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_BZP_KIERUNEK_1,.BZP_KIERUNEK=1,CDN_TEST:COLUMN:CDN..BZP_KIERUNEK,1,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_BZP_KIERUNEK_0,.BZP_KIERUNEK=0,CDN_TEST:COLUMN:CDN..BZP_KIERUNEK,0,,check_constraint,Ogólne
CM_CDN_TEST_COLUMN_CDN_BZP_KIERUNEK_NEG_1,.BZP_KIERUNEK=-1,CDN_TEST:COLUMN:CDN..BZP_KIERUNEK,-1,,check_constraint,Ogólne
